STATION,Date,DAPR,MDPR,Precmm,SNOW,SNWD,TMAX,TMIN,TOBS
USC00312200,1/1/15,,,0,,,9.4,-5.6,8.3
USC00312200,1/2/15,,,0,,,8.3,5,5
USC00312200,1/3/15,,,8.9,,,11.7,4.4,11.1
USC00312200,1/4/15,,,,,,13.9,7.8,13.3
USC00312200,1/5/15,2,39.9,,,,17.8,0,0
USC00312200,1/6/15,,,0,,,7.2,-5.6,-5.6
USC00312200,1/7/15,,,0,,,10,-5.6,-2.2
USC00312200,1/8/15,,,0,,,0.6,-15.6,-15.6
USC00312200,1/9/15,,,0,,,0.6,-16.1,-9.4
USC00312200,1/10/15,,,0,,,2.8,-12.2,-11.7
USC00312200,1/11/15,,,0,,,5,-11.7,3.3
USC00312200,1/12/15,,,2.8,,,8.3,-3.3,5
USC00312200,1/13/15,,,12.7,,,9.4,4.4,6.7
USC00312200,1/14/15,,,0,,,6.7,2.8,3.3
USC00312200,1/15/15,,,0,,,9.4,-3.3,-2.8
USC00312200,1/16/15,,,0,,,3.9,-3.9,-1.7
USC00312200,1/17/15,,,0,,,10,-5.6,-5.6
USC00312200,1/18/15,,,0.5,0,,11.7,-6.1,0
USC00312200,1/19/15,,,0.3,,,10,-3.3,-3.3
USC00312200,1/20/15,,,0,,,16.1,-3.3,-2.8
USC00312200,1/21/15,,,0,,,16.7,-3.3,-1.7
USC00312200,1/22/15,,,0,,,13.3,-4.4,-3.9
USC00312200,1/23/15,,,3.8,,,10.6,-3.9,2.2
USC00312200,1/24/15,,,17.3,,,5.6,2.2,3.9
USC00312200,1/25/15,,,0,,,10.6,-5,-5
USC00312200,1/26/15,,,0.5,,,12.8,-5,3.3
USC00312200,1/27/15,,,0,0,0,3.3,-2.8,-1.7
USC00312200,1/28/15,,,0,0,,3.9,-6.7,-6.1
USC00312200,1/29/15,,,0,,,8.3,-6.7,-4.4
USC00312200,1/30/15,,,0.5,,,9.4,-5,0
USC00312200,1/31/15,,,0,,,5,-7.8,-7.8
USC00312200,2/1/15,,,0,,,8.9,-7.8,0
USC00312200,2/2/15,,,21.8,,,11.1,0,6.1
USC00312200,2/3/15,,,0,,,6.1,-8.9,-8.9
USC00312200,2/4/15,,,0,,,7.2,-8.9,-6.7
USC00312200,2/5/15,,,0,,,11.1,-6.7,0
USC00312200,2/6/15,,,0,,,5.6,-10.6,-10.6
USC00312200,2/7/15,,,0,,,10,-10.6,-6.1
USC00312200,2/8/15,,,0,,,16.1,-10.6,-2.2
USC00312200,2/9/15,,,1,,,17.8,-2.2,7.8
USC00312200,2/10/15,,,2,,,14.4,2.2,2.2
USC00312200,2/11/15,,,0,,,12.2,-4.4,-4.4
USC00312200,2/12/15,,,0,,,15,-5,-3.9
USC00312200,2/13/15,,,0,,,6.1,-7.2,-7.2
USC00312200,2/14/15,,,0,,,4.4,-7.2,0.6
USC00312200,2/15/15,,,0,,,8.9,-10.6,-7.2
USC00312200,2/16/15,,,0,,,2.8,-10.6,-0.6
USC00312200,2/17/15,,,32.3,13,25,1.7,-2.2,-1.7
USC00312200,2/18/15,,,0,0,0,5.6,-8.9,-7.8
USC00312200,2/19/15,,,0.3,0,0,-2.2,-17.2,-16.7
USC00312200,2/20/15,,,0,0,0,-9.4,-17.2,-17.2
USC00312200,2/21/15,,,0,0,0,2.8,-17.2,-1.1
USC00312200,2/22/15,,,15.5,0,0,7.2,-1.1,2.2
USC00312200,2/23/15,,,0.3,0,0,11.7,2.2,2.8
USC00312200,2/24/15,,,8.6,122,127,10,-1.7,-1.7
USC00312200,2/25/15,,,0,0,25,2.8,-6.7,-5.6
USC00312200,2/26/15,,,11.4,132,152,3.3,-5.6,0
USC00312200,2/27/15,,,0,0,76,6.1,-5.6,-4.4
USC00312200,2/28/15,,,0,0,0,9.4,-5.6,-3.9
USC00312200,3/1/15,,,0,,,10,-3.9,1.1
USC00312200,3/2/15,,,0,,,12.8,1.1,6.7
USC00312200,3/3/15,,,0,,,17.8,6.7,9.4
USC00312200,3/4/15,,,7.6,,,16.7,8.9,16.7
USC00312200,3/5/15,,,1,,,23.3,14.4,17.8
USC00312200,3/6/15,,,10.4,,,17.8,-6.7,-6.7
USC00312200,3/7/15,,,0,,,8.3,-6.7,-2.2
USC00312200,3/8/15,,,0,,,15,-4.4,14.4
USC00312200,3/9/15,,,1.5,,,19.4,5.6,5.6
USC00312200,3/10/15,,,5.6,,,14.4,5.6,8.3
USC00312200,3/11/15,,,2,,,17.8,8.3,12.2
USC00312200,3/12/15,,,3,,,15.6,10.6,10.6
USC00312200,3/13/15,,,0.5,,,18.3,7.8,8.3
USC00312200,3/14/15,,,9.1,,,10.6,6.7,9.4
USC00312200,3/15/15,,,1,,,17.8,5.6,17.2
USC00312200,3/16/15,,,0,,,23.3,-1.1,-1.1
USC00312200,3/17/15,,,0,,,25,-1.1,2.2
USC00312200,3/18/15,,,0,,,23.3,2.2,6.1
USC00312200,3/19/15,,,2.3,,,19.4,6.1,6.7
